"","text","speaker","season","episode","scene","utterance"
"1","There's nothing to tell! He's just some guy I work with!","Monica Geller",1,1,1,1
"2","C'mon, you're going out with the guy! There's gotta be something wrong with him!","Joey Tribbiani",1,1,1,2
"3","All right Joey, be nice. So does he have a hump? A hump and a hairpiece?","Chandler Bing",1,1,1,3
"4","Wait, does he eat chalk?","Phoebe Buffay",1,1,1,4
"5","(They all stare, bemused.)","Scene Directions",1,1,1,5
"6","Just, 'cause, I don't want her to go through what I went through with Carl- oh!","Phoebe Buffay",1,1,1,6
"7","Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.","Monica Geller",1,1,1,7
"8","Sounds like a date to me.","Chandler Bing",1,1,1,8
"9","[Time Lapse]","Scene Directions",1,1,1,9
"10","Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.","Chandler Bing",1,1,1,10
"11","Oh, yeah. Had that dream.","#ALL#",1,1,1,11
"12","Then I look down, and I realize there's a phone... there.","Chandler Bing",1,1,1,12
"13","Instead of...?","Joey Tribbiani",1,1,1,13
"14","That's right.","Chandler Bing",1,1,1,14
"15","Never had that dream.","Joey Tribbiani",1,1,1,15
"16","No.","Phoebe Buffay",1,1,1,16
"17","All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.","Chandler Bing",1,1,1,17
"18","And they weren't looking at you before?!","Monica Geller",1,1,1,18
"19","Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!","Chandler Bing",1,1,1,19
"20","[Time Lapse, Ross has entered.]","Scene Directions",1,1,1,20
"21","Hi.","Ross Geller",1,1,1,21
"22","This guy says hello, I wanna kill myself.","Joey Tribbiani",1,1,1,22
"23","Are you okay, sweetie?","Monica Geller",1,1,1,23
"24","I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...","Ross Geller",1,1,1,24
"25","Cookie?","Chandler Bing",1,1,1,25
"26","Carol moved her stuff out today.","Monica Geller",1,1,1,26
"27","Ohh.","Joey Tribbiani",1,1,1,27
"28","Let me get you some coffee.","Monica Geller",1,1,1,28
"29","Thanks.","Ross Geller",1,1,1,29
"30","Ooh! Oh!","Phoebe Buffay",1,1,1,30
